38.95;46.93;51.16;56.19;179.89;79.12;167.62;82.13;217;166.94;225.87;169.36;46.73;56.34;42.04;64.22;164.61;94.73;157.48;97.85;220.97;196.41;224.46;191.94;45.85;69.05;46.15;54.1;167.74;120.02;152.77;110.71;217.03;154.05;230.43;163.89
43.35;70.56;47.02;65.27;172.27;107.15;177.12;142.44;212.5;235.98;210.22;226.97;53.18;70.36;49.89;85.18;170.37;137.53;178.56;118.27;224.91;262.99;220.36;293.09;50.41;88.16;51.44;77.7;169.72;137.06;178.76;133.92;224.34;241.13;219.88;267.17
44.16;46.59;48.97;41.59;184.63;54.34;182.05;63.16;250.27;197.44;252.3;186.11;42.45;45.35;54.04;49.14;175.14;86.65;177.34;71.53;277.12;202.21;265.8;201.56;45.08;63.68;47.62;44.33;156.58;99.86;177.99;73.41;278.61;218.06;258.76;220.76
37.74;57.86;35.45;54.37;171.83;105.7;168.49;98.06;220.24;155.31;221.2;155.66;39.25;63.94;35.97;58.75;163.61;101.48;174.55;140.91;223.65;199.86;217.08;200.35;42.15;57.01;35.55;63.63;165.07;96.71;165.62;94.1;223.92;221.14;222.39;234.8
38.72;56.07;43.29;64.85;169.44;65;168.12;60.02;224.06;182.75;221.23;205.55;39.07;40.85;45.89;64.07;168.86;68.5;161.2;85.07;228.65;228.05;228.55;223.02;37.55;54.78;46.79;61.5;161.32;82.06;158;103.66;226.1;242.34;225.14;234.9
33.95;50.99;48.56;49.97;165.11;86.33;175.78;82.51;241.88;88.78;240.76;100.56;38.22;42.03;48.34;55.09;163.76;90.13;170.46;86.68;245.52;209.91;240.47;227.33;43.52;61.34;48.21;56.98;172.9;106.5;179.38;104.51;236.39;181.5;233.42;188.07
37.65;54.49;53.1;61.57;158.1;88.53;160.79;95.36;193.96;130.08;193.06;126.02;44.5;39.37;48.86;34.22;153.54;68.25;146.9;80.95;191.73;165.49;192.93;148.72;31.01;53.05;50.98;59.02;153.4;95.85;152.87;78.85;198.87;140.35;195.32;158.52
39.13;42.02;57.63;48.28;201.28;142.87;195.91;120.98;254.98;163.07;252.63;140.5;41.87;24.73;57.8;84.4;199.55;193.38;188.84;169.19;260.63;127.28;264.18;111.01;42.27;44.61;60.53;80.19;203.5;199.32;198.37;177.22;259.55;105.92;258.81;83.34
48.26;26.97;56.59;44.03;177.5;64.51;165.53;77.14;219.08;176.27;223.95;170.27;32.57;60.43;53.66;41.05;174.19;60.63;171.97;33.47;220.73;186.29;223.41;194.85;34.32;64.07;52.82;62.01;175.49;60.23;174.57;51.92;217.45;221.3;226.19;212.71
45.13;47.34;49.62;59.19;171.8;46.07;169.74;32.2;220.03;222.66;219.04;236.96;52.19;32.7;47.23;45.52;171.32;72.5;164.26;51.67;224.75;208.05;231.8;223.6;50.71;49.3;51.91;41.61;170.01;48.8;164.39;44.2;227.1;234.95;227.33;246.57
